dataset,category,k,run_name,auroc,flip_rate_mean
mvtec,bottle,1,CLS-mvtec-bottle-k1-seed111-per_sample,0.9992063492063492,0.03650793650793651
mvtec,bottle,2,CLS-mvtec-bottle-k2-seed111-per_sample,0.992063492063492,0.04285714285714286
mvtec,bottle,4,CLS-mvtec-bottle-k4-seed111-per_sample,1.0,0.04047619047619048
mvtec,cable,1,CLS-mvtec-cable-k1-seed111-per_sample,0.9299100449775112,0.23969265367316342
mvtec,cable,2,CLS-mvtec-cable-k2-seed111-per_sample,0.9398425787106446,0.2158920539730135
mvtec,cable,4,CLS-mvtec-cable-k4-seed111-per_sample,0.966079460269865,0.1853448275862069
mvtec,capsule,1,CLS-mvtec-capsule-k1-seed111-per_sample,0.6804946150777822,0.14200239329876346
mvtec,capsule,2,CLS-mvtec-capsule-k2-seed111-per_sample,0.8416433984842441,0.1810929397686478
mvtec,capsule,4,CLS-mvtec-capsule-k4-seed111-per_sample,0.9258077383326685,0.2134024730753889
mvtec,carpet,1,CLS-mvtec-carpet-k1-seed111-per_sample,1.0,0.002407704654895666
mvtec,carpet,2,CLS-mvtec-carpet-k2-seed111-per_sample,1.0,0.0036115569823434992
mvtec,carpet,4,CLS-mvtec-carpet-k4-seed111-per_sample,1.0,0.0040128410914927765
mvtec,grid,1,CLS-mvtec-grid-k1-seed111-per_sample,0.9841269841269841,0.059314954051796154
mvtec,grid,2,CLS-mvtec-grid-k2-seed111-per_sample,0.9824561403508771,0.034252297410192145
mvtec,grid,4,CLS-mvtec-grid-k4-seed111-per_sample,0.9941520467836258,0.05012531328320802
mvtec,hazelnut,1,CLS-mvtec-hazelnut-k1-seed111-per_sample,0.9982142857142857,0.06892857142857142
mvtec,hazelnut,2,CLS-mvtec-hazelnut-k2-seed111-per_sample,0.9985714285714287,0.11178571428571428
mvtec,hazelnut,4,CLS-mvtec-hazelnut-k4-seed111-per_sample,0.9989285714285714,0.12571428571428572
mvtec,leather,1,CLS-mvtec-leather-k1-seed111-per_sample,1.0,0.0020380434782608695
mvtec,leather,2,CLS-mvtec-leather-k2-seed111-per_sample,1.0,0.0
mvtec,leather,4,CLS-mvtec-leather-k4-seed111-per_sample,1.0,0.0
mvtec,metal_nut,1,CLS-mvtec-metal_nut-k1-seed111-per_sample,0.9902248289345063,0.11436950146627566
mvtec,metal_nut,2,CLS-mvtec-metal_nut-k2-seed111-per_sample,0.9975562072336266,0.10117302052785923
mvtec,metal_nut,4,CLS-mvtec-metal_nut-k4-seed111-per_sample,1.0,0.09335288367546432
mvtec,pill,1,CLS-mvtec-pill-k1-seed111-per_sample,0.94189852700491,0.1901254773595199
mvtec,pill,2,CLS-mvtec-pill-k2-seed111-per_sample,0.9399890889252592,0.14566284779050737
mvtec,pill,4,CLS-mvtec-pill-k4-seed111-per_sample,0.9541734860883797,0.1595744680851064
mvtec,screw,1,CLS-mvtec-screw-k1-seed111-per_sample,0.5781922525107603,0.3035458085673294
mvtec,screw,2,CLS-mvtec-screw-k2-seed111-per_sample,0.6218487394957983,0.31092436974789917
mvtec,screw,4,CLS-mvtec-screw-k4-seed111-per_sample,0.6829268292682927,0.4738675958188153
mvtec,tile,1,CLS-mvtec-tile-k1-seed111-per_sample,0.9992784992784993,0.01479076479076479
mvtec,tile,2,CLS-mvtec-tile-k2-seed111-per_sample,0.998917748917749,0.015151515151515152
mvtec,tile,4,CLS-mvtec-tile-k4-seed111-per_sample,1.0,0.0018037518037518038
mvtec,toothbrush,1,CLS-mvtec-toothbrush-k1-seed111-per_sample,0.9388888888888889,0.3472222222222222
mvtec,toothbrush,2,CLS-mvtec-toothbrush-k2-seed111-per_sample,0.9527777777777778,0.3611111111111111
mvtec,toothbrush,4,CLS-mvtec-toothbrush-k4-seed111-per_sample,0.9750000000000001,0.35555555555555557
