dataset,category,k,run_name,baseline_error,error_30,rel_drop_30,is_monotonic,improved_at_30pct
mvtec,bottle,1,CLS-mvtec-bottle-k1-seed111-per_sample,0.0007936507936507,0.0,1.0,True,True
mvtec,bottle,2,CLS-mvtec-bottle-k2-seed111-per_sample,0.0079365079365079,0.0,1.0,True,True
mvtec,bottle,4,CLS-mvtec-bottle-k4-seed111-per_sample,0.0,0.0,,True,False
mvtec,cable,1,CLS-mvtec-cable-k1-seed111-per_sample,0.0700899550224887,0.0188370100663953,0.7312452253628733,True,True
mvtec,cable,2,CLS-mvtec-cable-k2-seed111-per_sample,0.0601574212893553,0.0255729278218033,0.5748998664886528,True,True
mvtec,cable,4,CLS-mvtec-cable-k4-seed111-per_sample,0.0339205397301349,0.0080852430927393,0.7616416732438842,True,True
mvtec,capsule,1,CLS-mvtec-capsule-k1-seed111-per_sample,0.3195053849222177,0.3156336171762543,0.012118004668077626,False,True
mvtec,capsule,2,CLS-mvtec-capsule-k2-seed111-per_sample,0.1583566015157559,0.0983203551794107,0.37912057824991785,True,True
mvtec,capsule,4,CLS-mvtec-capsule-k4-seed111-per_sample,0.0741922616673314,0.0092913754530791,0.8747662459093047,True,True
mvtec,carpet,1,CLS-mvtec-carpet-k1-seed111-per_sample,0.0,0.0,,True,False
mvtec,carpet,2,CLS-mvtec-carpet-k2-seed111-per_sample,0.0,0.0,,True,False
mvtec,carpet,4,CLS-mvtec-carpet-k4-seed111-per_sample,0.0,0.0,,True,False
mvtec,grid,1,CLS-mvtec-grid-k1-seed111-per_sample,0.0158730158730158,0.0008818342151675,0.9444444444444472,True,True
mvtec,grid,2,CLS-mvtec-grid-k2-seed111-per_sample,0.0175438596491228,0.0009746588693957,0.944444444444445,True,True
mvtec,grid,4,CLS-mvtec-grid-k4-seed111-per_sample,0.0058479532163742,0.0,1.0,True,True
mvtec,hazelnut,1,CLS-mvtec-hazelnut-k1-seed111-per_sample,0.0017857142857142,0.0001855287569573,0.8961038961039071,False,True
mvtec,hazelnut,2,CLS-mvtec-hazelnut-k2-seed111-per_sample,0.0014285714285714,0.0003710575139146,0.7402597402597748,False,True
mvtec,hazelnut,4,CLS-mvtec-hazelnut-k4-seed111-per_sample,0.0010714285714285,0.0005565862708719,0.48051948051952537,False,True
mvtec,leather,1,CLS-mvtec-leather-k1-seed111-per_sample,0.0,0.0,,True,False
mvtec,leather,2,CLS-mvtec-leather-k2-seed111-per_sample,0.0,0.0,,True,False
mvtec,leather,4,CLS-mvtec-leather-k4-seed111-per_sample,0.0,0.0,,True,False
mvtec,metal_nut,1,CLS-mvtec-metal_nut-k1-seed111-per_sample,0.0097751710654936,0.0010752688172043,0.8899999999999996,False,True
mvtec,metal_nut,2,CLS-mvtec-metal_nut-k2-seed111-per_sample,0.0024437927663734,0.000268817204301,0.8900000000000303,True,True
mvtec,metal_nut,4,CLS-mvtec-metal_nut-k4-seed111-per_sample,0.0,0.0,,True,False
mvtec,pill,1,CLS-mvtec-pill-k1-seed111-per_sample,0.05810147299509,0.0180526553417235,0.6892909179213222,True,True
mvtec,pill,2,CLS-mvtec-pill-k2-seed111-per_sample,0.0600109110747408,0.0141162029459901,0.7647727272727284,True,True
mvtec,pill,4,CLS-mvtec-pill-k4-seed111-per_sample,0.0458265139116202,0.0093073348759335,0.7969006568144508,True,True
mvtec,screw,1,CLS-mvtec-screw-k1-seed111-per_sample,0.4218077474892396,0.3998587239773958,0.05203561016243241,False,True
mvtec,screw,2,CLS-mvtec-screw-k2-seed111-per_sample,0.3781512605042016,0.3147417503586801,0.1676829268292681,True,True
